name,fmin,fmax,kmean,kvar,betagauge000,betagauge001,betagauge002,betagauge003,betagauge004,betagauge005,betagauge006,betagauge007,betagauge008,betagauge009,betagauge010,betagauge011,betagauge012,betagauge013,betagauge014,betagauge015,betagauge016,betagauge017,betagauge018,betagauge019,betagauge020,betagauge021,betagauge022,betagauge023,betagauge024,betagauge025,betagauge026,betagauge027,betagauge028,betagauge029,betagauge030,betagauge031,betagauge032,betagauge033,betagauge034,betagauge035,betagauge036,betagauge037,betagauge038,betagauge039,betagauge040,betagauge041,betagauge042,betagauge043,betagauge044,betagauge045,betagauge046,betagauge047,betagauge048,betagauge049,betagauge050,betagauge051,betagauge052,betagauge053,betagauge054,betagauge055,betagauge056,betagauge057,betagauge058,betagauge059,betagauge060,betagauge061,betagauge062,betagauge063,betagauge064,betagauge065,betagauge066,betagauge067,betagauge068,betagauge069,betagauge070,betagauge071,betagauge072,betagauge073,betagauge074,betagauge075,betagauge076,betagauge077,betagauge078,betagauge079,betagauge080,betagauge081,betagauge082,betagauge083,betagauge084,betagauge085,betagauge086,betagauge087,betagauge088,betagauge089,betagauge090,betagauge091,betagauge092,betagauge093,betagauge094,betagauge095,betagauge096,betagauge097,betagauge098,betagauge099
00000000,8.95653e-006,0.99955,0.102191,0.0876152,5.56002e-067,3.95837e-057,2.29919e-051,2.82994e-047,4.2151e-044,1.65087e-041,2.57211e-039,2.04104e-037,9.67447e-036,3.05407e-034,6.9394e-033,1.20184e-031,1.65714e-030,1.88171e-029,1.80748e-028,1.50078e-027,1.09637e-026,7.15099e-026,4.21569e-025,2.26973e-024,1.12598e-023,5.18627e-023,2.23261e-022,9.03458e-022,3.45412e-021,1.25326e-020,4.33247e-020,1.43203e-019,4.54009e-019,1.38452e-018,4.07165e-018,1.15739e-017,3.18668e-017,8.51489e-017,2.21186e-016,5.59461e-016,1.37991e-015,3.32346e-015,7.82577e-015,1.80369e-014,4.07338e-014,9.02276e-014,1.96207e-013,4.19228e-013,8.80837e-013,1.82127e-012,3.70844e-012,7.441e-012,1.47218e-011,2.87365e-011,5.53712e-011,1.05375e-010,1.98153e-010,3.68365e-010,6.77262e-010,1.23201e-009,2.21831e-009,3.95495e-009,6.98432e-009,1.22213e-008,2.11964e-008,3.64492e-008,6.21621e-008,1.05171e-007,1.7657e-007,2.94238e-007,4.86801e-007,7.99795e-007,1.30521e-006,2.11621e-006,3.40959e-006,5.46017e-006,8.69282e-006,1.37611e-005,2.16655e-005,3.39308e-005,5.28705e-005,8.19806e-005,0.000126524,0.000194393,0.000297388,0.000453096,0.00068766,0.00103985,0.00156707,0.00235416,0.00352646,0.00526908,0.0078557,0.0116917,0.0173796,0.0258202,0.0383711,0.0571054,0.0852501,0.127986,0.194062,0.299714,0.481975,1
00000001,6.08988e-013,0.99687,0.100536,0.0846938,0.0877435,0.0904121,0.0920268,0.0932016,0.0941325,0.0949077,0.095575,0.0961628,0.0966897,0.0971685,0.0976084,0.098016,0.0983966,0.0987542,0.0990921,0.0994127,0.0997184,0.100011,0.100291,0.100561,0.100822,0.101074,0.101319,0.101556,0.101788,0.102013,0.102234,0.10245,0.102661,0.102868,0.103072,0.103272,0.10347,0.103664,0.103856,0.104046,0.104233,0.104419,0.104603,0.104786,0.104967,0.105147,0.105326,0.105504,0.105682,0.105858,0.106035,0.106211,0.106387,0.106563,0.106739,0.106916,0.107093,0.10727,0.107448,0.107627,0.107807,0.107988,0.10817,0.108354,0.10854,0.108727,0.108916,0.109108,0.109302,0.109499,0.109698,0.109901,0.110107,0.110317,0.110532,0.11075,0.110974,0.111203,0.111438,0.111679,0.111928,0.112184,0.112449,0.112723,0.113008,0.113304,0.113614,0.113939,0.114281,0.114642,0.115025,0.115435,0.115875,0.116352,0.116873,0.117449,0.118095,0.118833,0.119695,0.120739,0.122071,0.123925,0.127054,1
00000002,5.16801e-007,0.994224,0.110266,0.0869751,0.0891912,0.0918369,0.0934368,0.0946004,0.0955222,0.0962897,0.0969501,0.0975319,0.0980533,0.0985271,0.0989622,0.0993655,0.099742,0.100096,0.10043,0.100747,0.101049,0.101338,0.101616,0.101883,0.10214,0.10239,0.102632,0.102866,0.103095,0.103318,0.103536,0.103749,0.103958,0.104163,0.104364,0.104562,0.104757,0.104949,0.105139,0.105327,0.105512,0.105696,0.105877,0.106058,0.106237,0.106415,0.106592,0.106768,0.106943,0.107118,0.107292,0.107466,0.10764,0.107814,0.107988,0.108162,0.108337,0.108512,0.108688,0.108864,0.109042,0.109221,0.109401,0.109583,0.109766,0.109951,0.110138,0.110327,0.110519,0.110713,0.11091,0.11111,0.111314,0.111521,0.111733,0.111949,0.11217,0.112396,0.112628,0.112866,0.113111,0.113364,0.113626,0.113897,0.114178,0.114471,0.114777,0.115097,0.115435,0.115791,0.11617,0.116574,0.117009,0.117479,0.117994,0.118563,0.1192,0.119929,0.12078,0.121811,0.123125,0.124956,0.128045,1
00000003,3.74841e-007,0.998874,0.100214,0.0861341,0.0921278,0.0930896,0.0936628,0.0940758,0.0944008,0.0946699,0.0949004,0.0951027,0.0952834,0.0954472,0.0955971,0.0957358,0.0958649,0.095986,0.0961002,0.0962084,0.0963113,0.0964096,0.0965038,0.0965944,0.0966817,0.096766,0.0968477,0.096927,0.097004,0.0970791,0.0971524,0.0972241,0.0972942,0.0973629,0.0974304,0.0974967,0.097562,0.0976263,0.0976897,0.0977523,0.0978141,0.0978753,0.097936,0.097996,0.0980556,0.0981148,0.0981736,0.0982321,0.0982903,0.0983483,0.0984061,0.0984638,0.0985214,0.098579,0.0986366,0.0986943,0.0987521,0.09881,0.0988682,0.0989265,0.0989852,0.0990443,0.0991037,0.0991636,0.099224,0.099285,0.0993466,0.0994089,0.099472,0.0995359,0.0996008,0.0996667,0.0997337,0.0998019,0.0998714,0.0999424,0.100015,0.100089,0.100165,0.100244,0.100324,0.100407,0.100493,0.100582,0.100674,0.10077,0.10087,0.100976,0.101086,0.101203,0.101327,0.10146,0.101602,0.101756,0.101925,0.102112,0.102321,0.102559,0.102839,0.103177,0.103609,0.10421,0.105227,1
00000004,7.99891e-008,0.997917,0.101895,0.0848744,0.0917839,0.0924702,0.0928782,0.0931719,0.0934026,0.0935936,0.0937571,0.0939004,0.0940284,0.0941443,0.0942505,0.0943485,0.0944399,0.0945255,0.0946062,0.0946826,0.0947553,0.0948247,0.0948913,0.0949552,0.0950168,0.0950763,0.0951339,0.0951898,0.0952442,0.0952971,0.0953488,0.0953993,0.0954487,0.0954972,0.0955447,0.0955914,0.0956374,0.0956827,0.0957273,0.0957714,0.095815,0.0958581,0.0959007,0.095943,0.0959849,0.0960266,0.0960679,0.0961091,0.0961501,0.0961909,0.0962315,0.0962721,0.0963127,0.0963532,0.0963937,0.0964342,0.0964749,0.0965156,0.0965565,0.0965975,0.0966388,0.0966803,0.096722,0.0967641,0.0968066,0.0968494,0.0968927,0.0969365,0.0969808,0.0970258,0.0970713,0.0971176,0.0971647,0.0972126,0.0972615,0.0973113,0.0973623,0.0974145,0.0974679,0.0975229,0.0975794,0.0976377,0.097698,0.0977604,0.0978251,0.0978926,0.097963,0.0980369,0.0981145,0.0981966,0.0982837,0.0983768,0.0984768,0.0985851,0.0987035,0.0988344,0.0989812,0.0991489,0.099345,0.0995826,0.0998856,0.100308,0.101023,1
00000005,4.88466e-009,0.998062,0.100923,0.0792941,0.13247,0.132471,0.132472,0.132472,0.132473,0.132473,0.132473,0.132473,0.132473,0.132474,0.132474,0.132474,0.132474,0.132474,0.132474,0.132474,0.132474,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132475,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132476,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132477,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132478,0.132479,0.132479,0.132479,0.132479,0.132479,0.132479,0.132479,0.132479,0.132479,0.13248,0.13248,0.13248,0.13248,0.13248,0.132481,0.132481,0.132482,0.132483,1
00000006,6.14685e-008,0.996227,0.100584,0.0809197,0.132318,0.132319,0.132319,0.13232,0.13232,0.132321,0.132321,0.132321,0.132321,0.132321,0.132322,0.132322,0.132322,0.132322,0.132322,0.132322,0.132322,0.132323,0.132323,0.132323,0.132323,0.132323,0.132323,0.132323,0.132323,0.132323,0.132323,0.132323,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132324,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132325,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132326,0.132327,0.132327,0.132327,0.132327,0.132327,0.132327,0.132327,0.132327,0.132327,0.132327,0.132327,0.132328,0.132328,0.132328,0.132328,0.132328,0.132328,0.132328,0.132329,0.132329,0.132329,0.132329,0.132329,0.13233,0.13233,0.132331,0.132331,0.205388,1
00000007,2.83648e-011,0.998769,0.10792,0.0722865,0.133457,0.133458,0.133459,0.13346,0.13346,0.13346,0.133461,0.133461,0.133461,0.133461,0.133461,0.133462,0.133462,0.133462,0.133462,0.133462,0.133462,0.133462,0.133462,0.133463,0.133463,0.133463,0.133463,0.133463,0.133463,0.133463,0.133463,0.133463,0.133463,0.133463,0.133463,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133464,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133465,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133466,0.133467,0.133467,0.133467,0.133467,0.133467,0.133467,0.133467,0.133467,0.133467,0.133467,0.133468,0.133468,0.133468,0.133468,0.133468,0.133468,0.133469,0.133469,0.133469,0.133469,0.13347,0.13347,0.13347,0.133471,0.454827,1
00000008,2.33204e-011,0.99962,0.100867,0.0868576,0.132873,0.132875,0.132875,0.132876,0.132876,0.132877,0.132877,0.132878,0.132878,0.132878,0.132878,0.132878,0.132879,0.132879,0.132879,0.132879,0.132879,0.132879,0.13288,0.13288,0.13288,0.13288,0.13288,0.13288,0.13288,0.13288,0.132881,0.132881,0.132881,0.132881,0.132881,0.132881,0.132881,0.132881,0.132881,0.132881,0.132882,0.132882,0.132882,0.132882,0.132882,0.132882,0.132882,0.132882,0.132882,0.132882,0.132882,0.132882,0.132883,0.132883,0.132883,0.132883,0.132883,0.132883,0.132883,0.132883,0.132883,0.132883,0.132883,0.132883,0.132884,0.132884,0.132884,0.132884,0.132884,0.132884,0.132884,0.132884,0.132884,0.132884,0.132885,0.132885,0.132885,0.132885,0.132885,0.132885,0.132885,0.132885,0.132885,0.132886,0.132886,0.132886,0.132886,0.132886,0.132886,0.132886,0.132887,0.132887,0.132887,0.132887,0.132887,0.132888,0.132888,0.132888,0.132889,0.132889,0.13289,0.132891,0.205469,1
00000009,6.07617e-008,0.970308,0.0953862,0.0586685,0.0892687,0.0914903,0.0928289,0.0938002,0.0945684,0.0952071,0.0957562,0.0962393,0.0966721,0.0970649,0.0974256,0.0977596,0.0980712,0.0983639,0.0986402,0.0989023,0.099152,0.0993908,0.0996199,0.0998403,0.100053,0.100259,0.100458,0.100652,0.10084,0.101024,0.101203,0.101379,0.101551,0.10172,0.101885,0.102048,0.102209,0.102367,0.102523,0.102677,0.102829,0.10298,0.10313,0.103278,0.103425,0.103571,0.103716,0.103861,0.104005,0.104148,0.104292,0.104434,0.104577,0.10472,0.104863,0.105006,0.105149,0.105293,0.105437,0.105582,0.105728,0.105874,0.106022,0.106171,0.106321,0.106473,0.106626,0.106781,0.106938,0.107097,0.107259,0.107423,0.10759,0.10776,0.107933,0.10811,0.108291,0.108476,0.108666,0.108861,0.109062,0.109269,0.109483,0.109705,0.109935,0.110175,0.110425,0.110688,0.110964,0.111256,0.111566,0.111897,0.112253,0.112638,0.113059,0.113525,0.114047,0.114643,0.115341,0.116185,0.117261,0.118761,0.121294,1
